abide|abode,abided|abode,abided,abidden
awake|awoke,awaked|awoken,awaked,awoke
be|was|been
beat|beat|beat,beaten
begin|began|begun
bend|bent|bent
bereave|bereaved,bereft|bereaved,bereft
bet|bet|bet
bid|bid,bade,bad|bid,bidden
bind|bound|bound
bite|bit|bitten
bleed|bled|bled
bless|blest,blessed|blest,blessed
blow|blew|blown
break|broke|broken
breed|bred|bred
bring|brought|brought
broadcast|broadcast|broadcast
browbeat|browbeaten|browbeaten
build|built|built
burn|burnt|burnt
burst|burst|burst
bust|bust|bust
buy|bought|bought
can|could|could
cast|cast|cast
catch|caught|caught
choose|chose|chosen
cleave|cleft|cleft
cling|clung|clung
come|came|come
cost|cost|cost
creep|crept|crept
crow|crew|crowed
cut|cut|cut
dare|dared,durst|dared
deal|dealt|dealt
dig|dug|dug
dive|dived,dove|dived
do|did|done
draw|drew|drawn
dream|dreamt|dreamt
drink|drank|drunk
drive|drove|driven
dwell|dwelled,dwelt|dwelled,dwelt
eat|ate|eaten
fall|fell|fallen
feed|fed|fed
feel|felt|felt
fight|fought|fought
find|found|found
fit|fit|fit
flee|fled|fled
fling|flung|flung
fly|flew|flown
forsake|forsook|forsaken
freeze|froze|frozen
get|got|gotten
gild|gilt|gilt
give|gave|given
gird|girded,girt|girded,girt
go|went|gone
grind|ground|ground
grow|grew|grown
hang|hung|hung
have|had|had
hear|heard|heard
heave|heaved,hove|heaved,hove,hoven
hew|hewed|hewn
hide|hid|hidden
hit|hit|hit
hold|held|held
hurt|hurt|hurt
keep|kept|kept
kneel|knelt|knelt
knit|knit|knit
know|knew|known
lay|laid|laid
lead|led|led
lean|leant|leant
learn|learnt|learnt
leave|left|left
lend|lent|lent
let|let|let
lie|lay|lain
light|lit|lit
lose|lost|lost
make|made|made
may|might|might
mean|meant|meant
meet|met|met
partake|partook|partaken
pay|paid|paid
pen|penned,pent|penned,pent
plead|pled,pleaded|pled,pleaded
prove|proved|proven
put|put|put
quit|quit|quit
read|read|read
rend|rended,rent|rended,rent
rid|rid|rid
ride|rode|ridden
ring|rang|rung
rise|rose|risen
run|ran|run
say|said|said
see|saw|seen
seek|sought|sought
sell|sold|sold
send|sent|sent
set|set|set
sew|sewed|sewn
shake|shook|shaken
shall|should|should
shed|shed|shed
shine|shone|shone
shoe|shod|shod
shoot|shot|shot
show|showed|shown
shrink|shrank|shrunk
shut|shut|shut
sing|sang|sung
sink|sank|sunk
sit|sat|sat
slay|slew|slain
sleep|slept|slept
slide|slid|slid
sling|slung|slung
smell|smelt|smelt
sow|sowed|sown
speak|spoke|spoken
speed|sped|sped
spell|spelt|spelt
spend|spent|spent
spill|spilt|spilt
spin|span|spun
spit|spat|spit
split|split|split
spoil|spoilt|spoilt
spread|spread|spread
spring|sprang|sprung
stand|stood|stood
stave|stove|staved
steal|stole|stolen
stick|stuck|stuck
sting|stung|stung
stink|stank|stunk
strew|strewed|strewn
stride|strode|stridden
strike|struck|stricken
string|strung|strung
strive|strove|striven
swear|swore|sworn
sweep|swept|swept
swell|swelled|swollen
swim|swam|swum
swing|swung|swung
take|took|taken
teach|taught|taught
tear|tore|torn
tell|told|told
think|thought|thought
throw|threw|thrown
thrust|thrust|thrust
tread|trod|trodden
wake|woke|woken
waylay|waylaid|waylaid
wear|wore|worn
weave|wove,weaved|woven,weaved
weep|wept|wept
wet|wet|wet
will|would|would
win|won|won
wind|wound|wound
wring|wrung|wrung
write|wrote|written
